,Customer_Name,Monetary,Frequency,Recency_Days
124,Homestate Highland Park,6996.67,35.0,1.0
125,Homestate Oceanside,3156.19,30.0,4.0
126,Homestate Pasadena,8001.65,31.0,1.0
127,Homestate Playa Vista,6109.14,35.0,1.0
128,Homestate Sherman Oaks,8009.85,65.0,1.0
129,Hoover Supply (Sales),2675.0,1.0,6.0
130,How's It Going To End?,2974.99,0.0,0.0
131,Immersion,2307.56,2.0,4.0
132,Javista Coffee West Hollywood,2905.14,21.0,6.0
133,JAVISTA Hollywood,4035.41,21.0,8.0
134,Jim Dandy,3537.7,23.0,7.0
135,Joint Seafood,1911.52,15.0,6.0
136,Jones Coffee Roasters,0.0,0.0,0.0
137,Mission St,2199.36,21.0,14.0
138,Raymond Street,1665.06,0.0,0.0
139,South Arroyo,1315.33,0.0,0.0
140,Jones Coffee Roasters - Other,44955.58,50.0,4.0
141,Total Jones Coffee Roasters,50135.33,0.0,0.0
142,Joy Highland Park,28264.62,127.0,1.0
143,Jugo Thousand Oaks,2640.12,0.0,0.0
144,Jyan Isaac Bread,22850.85,48.0,4.0
145,KEVIDKO Store Use,640.03,8.0,4.0
146,Kinrose Creamery,651.89,0.0,0.0
147,Kismet Restaurant,2887.25,23.0,6.0
148,"KosmaTex, Inc.",493.02,0.0,0.0
149,Kustaa Cheese and Wine,1184.03,16.0,5.0
150,La Sabrosa,2932.5,4.0,8.0
151,La Sorted's Chinatown,2968.11,10.0,6.0
152,LAMILL Anaheim,847.22,11.0,8.0
153,Lamill Roastery,3731.95,0.0,0.0
154,LAMILL Silverlake,3847.49,17.0,8.0
155,LAN Noodle,983.42,4.0,5.0
156,Larder Baking Co.,26446.33,49.0,5.0
157,LaSorteds Sunset,4303.18,29.0,8.0
158,Le Great Outdoor,3302.03,7.0,5.0
159,Legacy Wholesale Group,9413.0,0.0,0.0
160,Lighthouse Venice LLC,1932.19,16.0,1.0
161,Likeminded,963.95,8.0,14.0
162,Lingua Franca,241.54,11.0,5.0
163,Little Bear,1699.23,27.0,8.0
164,Little Fatty,5142.9,23.0,1.0
165,Little Fish Echo Park,2502.04,16.0,13.0
166,Liu's Cafe,2821.65,24.0,7.0
167,Livonia Glatt Market,2505.54,12.0,7.0
168,Lo/Cal Coffee & Market FAIRFAX,453.79,0.0,0.0
169,Lo/Cal Coffee & Market PICO,1185.95,21.0,7.0
170,Lutie,2787.97,16.0,14.0
171,Marlowe Coffee & Eatery,2286.86,8.0,0.0
172,Maru Coffee Hillhurst,2587.79,19.0,6.0
173,Maru Coffee N Canon,9441.82,50.0,1.0
174,Maru Coffee S Santa Fe,59317.78,33.0,0.0
175,Maury's,6564.3,49.0,1.0
176,MDD Supply,6590.5,0.0,0.0
177,Menotti's Coffee Stop,17987.27,64.0,1.0
178,Meteora,5610.59,25.0,7.0
179,Meymuni Cafe & Bazaar,4550.24,7.0,6.0
180,Molino,1361.48,0.0,0.0
181,Monroe Place,1333.09,10.0,1.0
182,Moo's Craft Barbecue,7523.42,44.0,5.0
183,Mustard's Bagels,715.79,20.0,5.0
184,Naan Hut,2587.31,14.0,1.0
185,Neighborhood Coffee Shop 3rd St,996.6,20.0,7.0
186,Neighborhood La Brea,2069.16,40.0,1.0
187,Nippon Cargo Airlines,1877.21,11.0,14.0
188,Noun,504.89,10.0,1.0
189,Organic Oren LLC,33814.93,53.0,5.0
190,Osteria La Buca - Melrose,3507.38,25.0,5.0
191,Osteria La Buca - Sherman Oaks,6572.49,56.0,1.0
192,Paisita Cafe,1608.18,6.0,5.0
193,Parakeet Bakery - Morena,7334.35,28.0,4.0
194,Parakeet Cafe - Beverly Hills,4345.86,15.0,8.0
195,Parakeet Cafe - Brentwood,2945.51,29.0,8.0
196,Parakeet Cafe - Carlsbad,6321.55,54.0,4.0
197,Parakeet Cafe - Cross Roots,4576.8,6.0,6.0
198,Parakeet Cafe - Del Mar,3888.04,22.0,13.0
199,Parakeet Cafe - La Jolla,4717.88,0.0,0.0
200,Parakeet Cafe - La Jolla Cove Hotel,2201.65,15.0,4.0
201,Parakeet Cafe - Little Italy,4769.91,44.0,4.0
202,Parakeet Cafe - Newport Beach,7067.88,47.0,7.0
203,Parakeet Cafe & Juicery - Coronado,12288.13,94.0,4.0
204,Parakeet Juicery - Del Mar,4868.9,39.0,4.0
205,Parakeet Juicery - La Jolla,4963.2,61.0,4.0
206,Pasta Sisters - Adams,2550.03,11.0,6.0
207,Pasta Sisters Costa Mesa,2276.64,14.0,4.0
208,Pasta Sisters Culver City,12961.44,51.0,7.0
209,Pasta Sisters Pico,5905.72,29.0,6.0
210,Perilla LA,3411.49,13.0,5.0
211,Pine & Crane DTLA,21165.28,122.0,1.0
212,Pine & Crane Silverlake,22024.8,130.0,1.0
213,Priedite Barbecue,1704.99,5.0,5.0
214,Princess Paper Inc,111.0,0.0,0.0
215,Proof Bakery,1272.59,4.0,7.0
216,Quarter Sheets LLC,5140.97,43.0,1.0
217,Rad Juice Bar,740.6,21.0,6.0
218,Rafie's Unlimited,2668.0,8.0,1.0
219,Revolution Roasters- Carlsbad,2736.88,39.0,1.0
220,Revolution Roasters- Oceanside,3612.6,42.0,4.0
221,Saavedras's,666.95,0.0,0.0
222,Saffy's,780.91,10.0,12.0
223,Sam's Place,1647.14,21.0,1.0
224,Santa Monica Kosher,6851.81,34.0,1.0
225,Sasabune Express,192.5,0.0,0.0
226,Shaherzad,6887.31,30.0,13.0
227,Si! Mon,302.28,0.0,0.0
228,Silverlake Wine,1910.32,9.0,5.0
229,Skaf's On York,3205.73,15.0,1.0
230,Skafs Lebanse Eatery,1634.58,38.0,4.0
231,Sobuneh,7257.31,36.0,4.0
232,Softies,2154.7,21.0,1.0
233,South Pas Smash,159.27,0.0,0.0
234,Spinwash Laundry,626.32,4.0,12.0
235,Square one Dining,897.71,14.0,6.0
236,Standing's Butchery,1316.28,11.0,13.0
237,Storm Burger,45030.93,51.0,0.0
238,Sua Superette Larchmont,2253.38,18.0,5.0
239,Sunnin,3823.38,9.0,1.0
240,Super Tochal,5110.45,24.0,7.0
241,SUSHIKO BAR INC,6918.24,30.0,6.0
242,Tabl Catering Inc,8131.51,4.0,1.0
243,Tail O' the Pup,2664.27,12.0,7.0
244,TAR & ROSES,1297.2,14.0,7.0
245,Tehran Market,17851.11,51.0,1.0
246,The Hermosillo,6384.45,74.0,1.0
247,The Stackz Co,4231.98,17.0,12.0
248,Thunder Road Cafe,140.62,2.0,14.0
249,Tiago Coffee Bar + Kitchen,7292.91,58.0,1.0
250,Tigres Fuego,333.3,0.0,0.0
251,Tomat,1331.46,15.0,1.0
252,Tortoni Caffe,900.35,10.0,1.0
