Customer_Name,Last_Order_Date,Frequency,Monetary,Recency_Days,Churn,is_churned
La Sabrosa,7/7/2025,100,50828.0,6,0,0
La Sorted's Chinatown,7/9/2025,15,1471.66,4,0,0
LaSorteds Sunset,5/21/2025,2,228.64,53,0,0
Lamill Roastery,6/6/2025,4,4225.0,37,0,0
Larder Baking Co.,7/10/2025,49,4549.37,3,0,0
Le Great Outdoor,7/10/2025,24,1857.54,3,0,0
Legacy Wholesale Group,6/26/2025,166,269452.75,17,0,0
Lighthouse Venice LLC,6/27/2025,27,1765.42,16,0,0
Likeminded,7/1/2025,25,1329.88,12,0,0
Lingua Franca,7/10/2025,12,756.34,3,0,0
Little Bear,7/7/2025,10,962.58,6,0,0
Little Fatty,12/20/2024,5,169.37,205,1,1
Little Fish Echo Park,7/2/2025,41,2470.94,11,0,0
Liu's Cafe,7/8/2025,32,1759.66,5,0,0
Livonia Glatt Market,7/8/2025,15,1847.22,5,0,0
Lo/Cal Coffee & Market FAIRFAX,6/10/2025,155,11421.44,33,0,0
Lo/Cal Coffee & Market PICO,7/7/2025,254,14764.63,6,0,0
Lutie,7/1/2025,17,1181.12,12,0,0
M & B Marketing Supplies,2/28/2024,12,2199.95,501,1,1
MDD Supply,6/26/2025,119,230183.4,17,0,0
Makisupa Coffee Bar,9/24/2024,13,741.5,292,1,1
Marlowe Coffee & Eatery,6/23/2025,22,1239.19,20,0,0
Maru Coffee Hillhurst,7/9/2025,55,6273.2,4,0,0
Maru Coffee N Canon,7/10/2025,105,12543.47,3,0,0
Maru Coffee S Santa Fe,7/10/2025,54,8845.22,3,0,0
Maury's,7/8/2025,286,24513.95,5,0,0
Menotti's Coffee Stop,7/9/2025,1079,114247.82,4,0,0
Metabolic Market,4/7/2025,2,103.2,97,1,1
Meteora,7/2/2024,2,133.66,376,1,1
Meymuni Cafe & Bazaar,6/24/2025,18,3589.42,19,0,0
Michaels,6/26/2024,11,748.71,382,1,1
Mint Juicery,7/24/2023,2,185.56,720,1,1
Monroe Place,4/28/2025,15,830.84,76,0,0
Moo's Craft Barbecue,7/8/2025,115,7194.27,5,0,0
Moto Ramen,8/28/2023,10,554.31,685,1,1
Mustard's Bagels,7/10/2025,10,856.18,3,0,0
My Lai,7/2/2024,48,2866.16,376,1,1
Naan Hut,5/13/2025,20,1285.86,61,0,0
Neighborhood Coffee Shop 3rd St,7/8/2025,379,38106.81,5,0,0
Neighborhood La Brea,7/9/2025,237,19345.93,4,0,0
Noun,2/28/2025,4,212.0,135,1,1
Osteria La Buca - Melrose,6/3/2025,11,758.34,40,0,0
Osteria La Buca - Sherman Oaks,6/30/2025,21,900.95,13,0,0
Paisita Cafe,7/10/2025,12,566.37,3,0,0
Parakeet Bakery - Morena,6/13/2025,2,94.69,30,0,0
Parakeet Cafe & Juicery - Coronado,7/9/2025,104,7672.82,4,0,0
Parakeet Cafe - Beverly Hills,7/7/2025,46,2578.23,6,0,0
