Customer_Name,Last_Order_Date,Frequency,Monetary,Recency_Days,Churn,is_churned,Balance Total
Finest City Paper,7/11/2025,1635,293978.16,2,0,0,77673.24
Flame Persian Cuisine,7/8/2025,15,1051.74,5,0,0,2928.99
Friends & Family Pizza Co,10/17/2024,8,309.95,269,1,1,50.86
Friends & Family Silverlake,7/10/2025,34,1903.08,3,0,0,0
Friends and Family Hollywood,7/9/2025,91,5144.77,4,0,0,1333.51
Fundamental Events Inglewood,7/9/2025,107,16201.88,4,0,0,7547.24
G&B Coffee - Grand Central Market,6/27/2025,155,12507.62,16,0,0,1966.45
GGET Culver City,2/19/2025,510,41247.21,144,1,1,6729.67
GGET HQ,8/22/2024,415,90113.89,325,1,1,4980.47
GGET Larchmont,6/18/2025,515,47236.38,25,0,0,4671.14
GGET Los Feliz,9/3/2024,382,25329.16,313,1,1,3901.2
GGET Montana,7/7/2025,297,17879.4,6,0,0,6156.71
GGET ROW,6/23/2025,255,18207.71,20,0,0,2556.14
GGET TMC,9/14/2022,2,127.76,1033,1,1,
GGET West Hollywood,1/23/2025,507,38257.46,171,1,1,2767.34
GGET-Highland Park,2/11/2025,356,24774.88,152,1,1,1839.39
GGET-Santa Monica,7/18/2023,47,2675.33,726,1,1,
Game n Grounds,7/7/2025,70,9018.18,6,0,0,1765.02
General Sales Equipment,3/21/2025,2,156.78,114,1,1,463.72
Gingergrass Mini Mart,7/10/2023,3,151.48,734,1,1,0
Gingergrass Silverlake,6/19/2025,34,1708.55,24,0,0,7278.4
Gjelina Take Away,5/20/2024,35,1728.6,419,1,1,1096.63
Gjusta Bakery Venice,4/6/2023,2,160.04,829,1,1,1052.55
Gjusta Grocer,6/30/2025,247,15881.98,13,0,0,2389.96
Glowing Juices,6/19/2025,176,10258.48,24,0,0,-268.08
Gnarwhal Coffee,7/8/2025,500,37997.5,5,0,0,-702.4
Goldburger Chinatown,6/26/2025,3,199.28,17,0,0,4601.16
Goldburger Highland Park,7/1/2025,41,2042.62,12,0,0,5850.34
Goldburger Los Feliz,6/16/2025,47,2590.64,27,0,0,6248.78
Good Intentions Coffee,7/2/2025,4,263.35,11,0,0,307.26
Good Neighbor Bar,7/8/2025,7,449.75,5,0,0,1468.4
Great White Brentwood,7/8/2025,26,1380.79,5,0,0,4662.09
Great White Larchmont,7/7/2025,31,2047.21,6,0,0,12453.25
Great White Melrose,7/7/2025,31,2415.72,6,0,0,2645.73
Great White Venice,7/11/2025,57,3885.39,2,0,0,6991.95
Guerrilla Tacos,12/18/2024,27,1554.67,207,1,1,-740.62
Happies Hand Made,6/5/2025,6,736.25,38,0,0,999.98
Heavy Water Coffee Shop,1/30/2024,3,203.5,530,1,1,0
Hi Tops,10/14/2022,25,3208.67,1003,1,1,0
Highlight Coffee Glendale,3/4/2025,3,195.62,131,1,1,-14.48
Highlight Coffee Pasadena,7/7/2025,69,9471.57,6,0,0,522.2
Hippo Restaurant,6/24/2025,22,1318.09,19,0,0,557.33
Holey Grail Donuts,4/25/2023,18,2657.25,810,1,1,0
Holy Grounds St. Monica,6/17/2025,32,5881.17,26,0,0,349.22
Homestate Atwater,6/10/2025,74,2788.34,33,0,0,4697.48
Homestate Commissary,11/4/2022,1,58.87,982,1,1,9293.19
Homestate Culver City,5/8/2025,48,1919.99,66,0,0,5090.02
Homestate Highland Park,7/7/2025,124,5624.0,6,0,0,6503.4
Homestate Oceanside,6/11/2025,42,1853.87,32,0,0,3704.98
Homestate Pasadena,6/30/2025,160,7233.05,13,0,0,11970.25
Homestate Playa Vista,6/9/2025,114,4735.38,34,0,0,5160.98
Homestate Sherman Oaks,7/1/2025,110,5500.43,12,0,0,8957.51
Homestate- Hollywood,6/19/2025,168,7599.3,24,0,0,8102.44
Homestate- West Adams,4/7/2023,2,117.77,828,1,1,
Hoover Supply (Sales),7/9/2025,8,13750.0,4,0,0,2675
How's It Going To End?,6/26/2025,82,14137.95,17,0,0,-167.31
Immersion,6/25/2025,9,1308.96,18,0,0,0
JAVISTA Hollywood,7/7/2025,135,6104.45,6,0,0,4056.43
Javista Coffee West Hollywood,7/9/2025,144,5779.39,4,0,0,2001
Jim Dandy,7/8/2025,32,942.0,5,0,0,5511.6
Jireh Cash and Carry,5/12/2023,15,11806.0,793,1,1,0
Joint Seafood,7/9/2025,4,206.54,4,0,0,398.83
Jon & Vinny's - Beverly Hills,5/2/2023,19,1102.04,803,1,1,
Jon & Vinny's - Brentwood,5/2/2023,38,2056.94,803,1,1,
Jon & Vinny's - Fairfax,5/2/2023,28,1568.78,803,1,1,
Jon & Vinny's- Slauson,5/2/2023,25,1419.84,803,1,1,
Jones Coffee Roasters,7/8/2025,276,57265.1,5,0,0,64098.43
Jones Coffee Roasters:Mission St,7/1/2025,211,13393.29,12,0,0,4590.45
Jones Coffee Roasters:Raymond Street,6/24/2025,228,14286.25,19,0,0,3836.2
Jones Coffee Roasters:South Arroyo,6/24/2025,217,13330.84,19,0,0,3053.15
Joseon,3/27/2024,15,950.45,473,1,1,
Joy Highland Park,7/8/2025,267,12005.95,5,0,0,7640.43
Jugo Thousand Oaks,6/17/2025,68,11714.73,26,0,0,2236.22
Just What I Kneaded,3/19/2024,118,7949.34,481,1,1,0
Jyan Isaac Bread,7/10/2025,243,15488.97,3,0,0,21867.79
K-Trade Inc,11/22/2022,4,29145.0,964,1,1,0
KEVIDKO Store Use,10/8/2024,1,0.0,278,1,1,4273.36
Kindness & Mischief,12/19/2022,36,5156.73,937,1,1,0
Kismet Restaurant,5/28/2025,14,633.48,46,0,0,-849.76
Kismet Rotisserie,3/22/2023,48,1646.24,844,1,1,
Konbi,2/13/2023,54,4594.58,881,1,1,
"KosmaTex, Inc.",1/27/2023,1,58.87,898,1,1,520.7
Kustaa Cheese and Wine,6/18/2025,5,272.06,25,0,0,393.8
Kye's Kitchen k12/ Colony,2/21/2023,2,149.86,873,1,1,
Kye's Montana,10/11/2022,4,331.08,1006,1,1,
LAMILL Anaheim,7/7/2025,76,4837.5,6,0,0,384.99
LAMILL Silverlake,7/7/2025,344,22508.67,6,0,0,114.7
LAN Noodle,12/31/2024,18,739.1,194,1,1,308.82
LAX-C,2/12/2025,2,940.0,151,1,1,-4785
La Sabrosa,7/7/2025,100,50828.0,6,0,0,1087.5
La Sorted's Chinatown,7/9/2025,15,1471.66,4,0,0,788.61
LaSorteds Sunset,5/21/2025,2,228.64,53,0,0,2510.23
Lamill Roastery,6/6/2025,4,4225.0,37,0,0,2647.77
Larder Baking Co.,7/10/2025,49,4549.37,3,0,0,19111.78
Le Great Outdoor,7/10/2025,24,1857.54,3,0,0,4000.14
Legacy Wholesale Group,6/26/2025,166,269452.75,17,0,0,9413
Lighthouse Venice LLC,6/27/2025,27,1765.42,16,0,0,1274.45
Likeminded,7/1/2025,25,1329.88,12,0,0,90.32
Lingua Franca,7/10/2025,12,756.34,3,0,0,0
Little Bear,7/7/2025,10,962.58,6,0,0,1728.32
Little Fatty,12/20/2024,5,169.37,205,1,1,1129.09
Little Fish Echo Park,7/2/2025,41,2470.94,11,0,0,1198.98
Liu's Cafe,7/8/2025,32,1759.66,5,0,0,6.08
Livonia Glatt Market,7/8/2025,15,1847.22,5,0,0,5168.23
Lo/Cal Coffee & Market FAIRFAX,6/10/2025,155,11421.44,33,0,0,6467.64
Lo/Cal Coffee & Market PICO,7/7/2025,254,14764.63,6,0,0,2431.9
Lutie,7/1/2025,17,1181.12,12,0,0,1666.03
M & B Marketing Supplies,2/28/2024,12,2199.95,501,1,1,0
MDD Supply,6/26/2025,119,230183.4,17,0,0,38501.9
Makisupa Coffee Bar,9/24/2024,13,741.5,292,1,1,-64.5
Marlowe Coffee & Eatery,6/23/2025,22,1239.19,20,0,0,431.88
Maru Coffee Hillhurst,7/9/2025,55,6273.2,4,0,0,1468.04
Maru Coffee N Canon,7/10/2025,105,12543.47,3,0,0,2634.3
Maru Coffee S Santa Fe,7/10/2025,54,8845.22,3,0,0,22584.45
Maury's,7/8/2025,286,24513.95,5,0,0,7307.94
Menotti's Coffee Stop,7/9/2025,1079,114247.82,4,0,0,7422.02
Metabolic Market,4/7/2025,2,103.2,97,1,1,0
Meteora,7/2/2024,2,133.66,376,1,1,3974.76
Meymuni Cafe & Bazaar,6/24/2025,18,3589.42,19,0,0,348.66
Michaels,6/26/2024,11,748.71,382,1,1,-23.57
Mint Juicery,7/24/2023,2,185.56,720,1,1,0
Monroe Place,4/28/2025,15,830.84,76,0,0,-382.23
Moo's Craft Barbecue,7/8/2025,115,7194.27,5,0,0,4125.21
Moto Ramen,8/28/2023,10,554.31,685,1,1,
Mustard's Bagels,7/10/2025,10,856.18,3,0,0,0
My Lai,7/2/2024,48,2866.16,376,1,1,
Naan Hut,5/13/2025,20,1285.86,61,0,0,1677.58
Neighborhood Coffee Shop 3rd St,7/8/2025,379,38106.81,5,0,0,637.9
Neighborhood La Brea,7/9/2025,237,19345.93,4,0,0,7439.57
Noun,2/28/2025,4,212.0,135,1,1,0
Osteria La Buca - Melrose,6/3/2025,11,758.34,40,0,0,1218.3
Osteria La Buca - Sherman Oaks,6/30/2025,21,900.95,13,0,0,2213.11
Paisita Cafe,7/10/2025,12,566.37,3,0,0,3236.51
Parakeet Bakery - Morena,6/13/2025,2,94.69,30,0,0,2426.89
Parakeet Cafe & Juicery - Coronado,7/9/2025,104,7672.82,4,0,0,3272.51
Parakeet Cafe - Beverly Hills,7/7/2025,46,2578.23,6,0,0,780.45
Parakeet Cafe - Brentwood,7/1/2025,46,2719.35,12,0,0,347.31
Parakeet Cafe - Carlsbad,7/11/2025,98,5739.92,2,0,0,1146.41
Parakeet Cafe - Del Mar,7/2/2025,48,3547.83,11,0,0,1227.78
Parakeet Cafe - La Jolla,6/27/2025,48,3448.63,16,0,0,0
Parakeet Cafe - La Jolla Cove Hotel,7/11/2025,50,2712.99,2,0,0,298.12
Parakeet Cafe - Little Italy,7/11/2025,143,8450.71,2,0,0,1187.9
Parakeet Cafe - Newport Beach,7/8/2025,100,6231.6,5,0,0,1095.91
Parakeet Juicery - Del Mar,7/11/2025,65,4882.96,2,0,0,1360.29
Parakeet Juicery - La Jolla,7/11/2025,91,7469.25,2,0,0,2550.26
Parakeet Juicery Coronado,7/11/2025,13,767.66,2,0,0,200.42
Pasta Sisters - Adams,4/22/2025,3,154.95,82,0,0,1681.87
Pasta Sisters Culver City,7/1/2025,108,5279.11,12,0,0,7466.98
